Date,Time,"Rain (S-RGA 9927044:9917722-1), in","Wind Speed (S-WCA 9927044:9907761-1), mph","Temperature (S-THB 9927044:9909397-1), *F","Wetness (S-LWA 9927044:9895688-1), %","Voltage (91-U30-CVIA 9927044:9896946-1), V","Pressure (S-BPB 9927044:10661037-1), inHg","Water Content (S-SMC 9927044:10659713-1), m^3/m^3","Dew Point (S-THB 9927044:9909397-3), *F","Gust Speed (S-WCA 9927044:9907761-2), mph","RH (S-THB 9927044:9909397-2), %","Wind Direction (S-WCA 9927044:9907761-3), *","Current (91-U30-CVIA 9927044:9896946-2), mA","Battery (U30 BATTERY 9927044:9927044-B), V","Temperature (S-TMB 9927044:9912395-1), *F","Solar Radiation (S-LIB 9927044:9903142-1), W/m^2"
10/06/16,02:45:00,0.00,0.0,42.29,100.0,-0.204,30.184,0.1201,41.56,0.0,97.20,216,0.006,4.41,-888.88,1
10/06/16,03:00:00,0.00,0.0,42.48,100.0,-0.204,30.181,0.1201,41.77,0.0,97.30,216,0.006,4.34,-888.88,1
10/06/16,03:15:00,0.00,0.0,41.97,100.0,-0.204,30.178,0.1201,41.27,0.0,97.30,216,0.006,4.36,-888.88,1
10/06/16,03:30:00,0.00,0.0,41.88,100.0,-0.204,30.178,0.1201,41.20,0.0,97.40,219,0.006,4.37,-888.88,1
10/06/16,03:45:00,0.00,0.0,41.74,100.0,-0.204,30.175,0.1201,41.07,0.0,97.40,225,0.006,4.38,-888.88,1
10/06/16,04:00:00,0.00,0.0,41.88,100.0,-0.204,30.172,0.1209,41.23,0.0,97.50,226,0.006,4.34,-888.88,1
10/06/16,04:15:00,0.00,0.0,41.60,100.0,-0.204,30.175,0.1201,40.95,0.0,97.50,226,0.006,4.36,-888.88,1
10/06/16,04:30:00,0.00,0.0,41.51,100.0,-0.204,30.175,0.1209,40.89,0.0,97.60,226,0.006,4.36,-888.88,1
10/06/16,04:45:00,0.00,0.0,41.28,100.0,-0.204,30.178,0.1201,40.68,0.0,97.70,227,0.006,4.36,-888.88,1
10/06/16,05:00:00,0.00,0.0,41.42,100.0,-0.204,30.178,0.1209,40.82,0.0,97.70,257,0.006,4.32,-888.88,1
10/06/16,05:15:00,0.00,0.0,41.83,100.0,-0.204,30.178,0.1209,41.29,0.0,97.90,243,0.006,4.34,-888.88,1
10/06/16,05:30:00,0.00,0.0,41.65,100.0,-0.204,30.178,0.1201,41.07,0.0,97.80,243,0.006,4.35,-888.88,1
10/06/16,05:45:00,0.00,0.0,40.16,100.0,-0.204,30.178,0.1201,39.56,0.0,97.70,243,0.006,4.36,-888.88,1
10/06/16,06:00:00,0.00,0.0,39.97,100.0,-0.204,30.178,0.1209,39.40,0.0,97.80,243,0.006,4.33,-888.88,1
10/06/16,06:15:00,0.00,0.0,40.67,100.0,-0.204,30.175,0.1201,40.14,0.0,97.90,243,0.006,4.34,-888.88,1
10/06/16,06:30:00,0.00,0.0,39.69,100.0,-0.204,30.175,0.1201,39.13,0.0,97.80,243,0.006,4.35,-888.88,2
10/06/16,06:45:00,0.00,0.0,39.88,100.0,-0.204,30.178,0.1201,39.34,0.0,97.90,243,0.006,4.38,-888.88,9
10/06/16,07:00:00,0.00,0.0,40.63,100.0,-0.204,30.184,0.1201,40.12,0.0,98.00,243,0.006,4.32,-888.88,34
10/06/16,07:15:00,0.00,0.0,42.20,100.0,-0.204,30.190,0.1209,41.67,0.0,97.90,254,0.006,4.40,-888.88,88
10/06/16,07:30:00,0.00,0.0,43.94,100.0,-0.204,30.196,0.1209,43.38,0.0,97.80,265,0.006,4.54,-888.88,139
10/06/16,07:45:00,0.00,0.0,45.13,100.0,-0.204,30.193,0.1209,44.49,0.4,97.60,268,0.006,4.55,-888.88,182
10/06/16,08:00:00,0.00,0.0,46.21,100.0,-0.204,30.193,0.1209,45.50,0.0,97.30,260,0.006,4.56,-888.88,218
10/06/16,08:15:00,0.00,0.0,47.96,100.0,-0.204,30.193,0.1209,47.19,0.0,97.10,246,0.006,4.56,-888.88,254
10/06/16,08:30:00,0.00,0.0,50.09,100.0,-0.204,30.202,0.1209,49.24,0.0,96.80,254,0.006,4.57,-888.88,291
10/06/16,08:45:00,0.00,0.0,51.50,100.0,-0.204,30.208,0.1216,50.47,0.0,96.20,263,0.006,4.57,-888.88,324
10/06/16,09:00:00,0.00,1.2,53.38,100.0,-0.204,30.208,0.1216,52.03,4.2,95.10,251,0.006,4.56,-888.88,364
10/06/16,09:15:00,0.00,0.0,54.30,32.4,-0.204,30.202,0.1223,52.56,1.7,93.70,292,0.006,4.56,-888.88,404
10/06/16,09:30:00,0.00,0.4,55.69,18.8,-0.204,30.205,0.1223,53.37,3.7,91.80,303,0.006,4.56,-888.88,438
10/06/16,09:45:00,0.00,0.0,57.59,16.5,-0.204,30.205,0.1223,54.41,0.0,89.00,236,0.006,4.57,-888.88,471
10/06/16,10:00:00,0.00,0.0,59.83,13.5,-0.204,30.205,0.1223,55.38,0.0,85.10,161,0.006,4.56,-888.88,501
10/06/16,10:15:00,0.00,0.8,61.59,12.9,-0.204,30.193,0.1216,55.40,2.9,80.00,143,0.006,4.56,-888.88,531
10/06/16,10:30:00,0.00,2.1,61.59,10.6,-0.204,30.175,0.1216,52.81,5.4,72.80,86,0.006,4.56,-888.88,552
10/06/16,10:45:00,0.00,1.2,64.07,10.0,-0.204,30.169,0.1209,53.20,4.2,67.70,94,0.006,4.56,-888.88,574
10/06/16,11:00:00,0.00,2.1,64.97,8.8,-0.204,30.172,0.1209,51.94,5.0,62.60,348,0.006,4.55,-888.88,591
10/06/16,11:15:00,0.00,2.1,66.64,7.1,-0.204,30.175,0.1201,50.77,4.6,56.60,330,0.006,4.56,-888.88,604
10/06/16,11:30:00,0.00,1.7,67.54,6.5,-0.204,30.172,0.1194,48.70,5.0,50.80,351,0.006,4.56,-888.88,619
10/06/16,11:45:00,0.00,1.7,67.33,5.3,-0.204,30.169,0.1187,45.05,4.2,44.60,316,0.006,4.56,-888.88,628
10/06/16,12:00:00,0.00,1.7,67.80,4.7,-0.204,30.169,0.1180,47.10,4.6,47.40,55,0.006,4.56,-888.88,632
10/06/16,12:15:00,0.00,0.8,68.87,4.7,-0.204,30.163,0.1180,47.21,5.0,45.90,102,0.006,4.56,-888.88,633
